First Name,Last Name,Age,FA Year,Contract Length,Contract Total (mill),Contract Per Year,Inflation
Arron,Afflalo,30,2016,2,25,12.5,16.27604167
Arron,Afflalo,29,2015,2,16,8,10.76716016
Arron,Afflalo,25,2011,5,36.7125,7.3425,11.41912908
Ray,Allen,37,2012,2,6.31905,3.159525,4.729827844
Tony,Allen,31,2013,4,20.000001,5,7.215007215
Trevor,Ariza,29,2014,4,32.000002,8.000001,11.14206267
Luke,Babbitt,26,2015,2,2.327888,1.163944,1.566546433
Leandro,Barbosa,32,2015,1,2.5,2.5,3.36473755
Harrison,Barnes,30,2016,4,94.5,23.6,30.72916667
Matt,Barnes,36,2016,2,12.25,6.125,7.975260417
Matt,Barnes,33,2013,3,10.18875,3.39625,4.900793651
Will,Barton,27,2018,4,53,13.25,16.19804401
Will,Barton,24,2015,3,10.599999,3.533333,4.755495289
Shane,Battier,33,2011,3,9.405,3.135,4.875583204
Nicolas,Batum,26,2016,5,120,24,31.25
Nicolas,Batum,23,2012,4,46.1215,11.530375,17.26104042
Kent,Bazemore,27,2016,4,70,17.5,22.78645833
Kent,Bazemore,25,2014,2,4,2,2.78551532
Bradley,Beal,23,2016,5,127,25.4,33.07291667
Marco,Belinelli,32,2018,2,12,6,7.334963325
Marco,Belinelli,29,2015,3,19,6.333333,8.524001346
Patrick,Beverley,27,2015,4,23.027026,5.756757,7.747990579
Keith,Bogans,33,2013,3,15.629874,5.209958,7.517976912
Bojan,Bogdonovich,28,2017,2,21,10.5,13.2408575
Avery,Bradley,28,2018,2,25,12.5,15.28117359
Avery,Bradley,24,2014,4,32,8,11.14206128
Corey,Brewer,29,2015,3,23.420913,7.806971,10.50736339
Corey,Brewer,27,2013,3,14.1075,4.7025,6.785714286
Corey,Brewer,25,2011,3,9.177,3.059,4.757387247
Shannon,Brown,26,2012,2,7,3.5,5.239520958
Chase,Budinger,25,2013,3,15,5,7.215007215
Caron,Butler,35,2015,2,3.050846,1.525423,2.053059219
Caron,Butler,31,2011,3,24,8,12.44167963
Kentavious,Caldwell,25,2018,1,12,12,14.66992665
Kentavious,Caldwell,24,2017,1,17.75,17.75,22.38335435
DeMarre,Carroll,29,2015,4,58,14.5,19.51547779
Vince,Carter,37,2014,3,12,4,5.571030641
Vince,Carter,34,2011,3,9.27,3.09,4.805598756
Omri,Casspi,27,2015,2,5.8,2.9,3.903095559
Wilson,Chandler,24,2011,5,31.720817,6.344163,9.866505443
Daequan,Cook,24,2011,2,6.5,3.25,5.054432348
Allen,Crabbe,23,2016,4,74.8,18.7,24.34895833
Jamal,Crawford,36,2016,3,42,14,18.22916667
Jamal,Crawford,32,2012,4,21.35,5.3375,7.990269461
Jae,Crowder,25,2015,5,35,7,9.421265141
Seth,Curry,26,2016,2,5.92641,2.963205,3.858339844
Troy,Daniels,24,2016,3,10,3.33,4.3359375
Carlos,Delfino,31,2013,3,9.75,3.25,4.68975469
Carlos,Delfino,30,2012,2,6,3,4.491017964
DeMar,DeRozan,25,2016,5,139,27.8,36.19791667
Wayne,Ellington,30,2018,1,6.27,6.27,7.665036675
Wayne,Ellington,28,2016,2,12.27,6.135,7.98828125
Wayne,Ellington,27,2015,2,3.0675,1.53375,2.064266487
Monta,Ellis,29,2015,4,43.981,10.99525,14.79845222
Monta,Ellis,27,2013,3,25.08,8.36,12.06349206
Jeremy,Evans,27,2015,2,2.327888,1.163944,1.566546433
Tyreke,Evans,29,2018,1,12.5,12.5,15.28117359
Tyreke,Evans,24,2013,4,44.000004,11.000001,15.87301732
Landry,Fields,24,2012,3,18.75,6.25,9.356287425
Bryn,Forbes,25,2018,2,6,3,3.667481663
Evan,Fournier,28,2016,5,85,17,22.13541667
Randy,Foye,30,2013,3,9.135,3.045,4.393939394
Danilo,Gallinari,28,2017,3,64.75,21.58333333,27.2173182
Langston,Galloway,25,2017,3,21,7,8.827238335
Rudy,Gay,32,2018,1,10.0872,10.0872,12.33154034
Manu,Ginobili,38,2015,2,5.75463,2.877315,3.87256393
Manu,Ginobili,36,2013,2,14.5,7.25,10.46176046
Eric,Gordon,27,2016,4,52.8,13.2,17.1875
Eric,Gordon,23,2012,4,58.365563,14.591391,21.8433997
Danny,Granger,31,2014,2,4.247465,2.123733,2.957845404
Danny,Green,28,2015,4,40,10,13.4589502
Danny,Green,25,2012,3,11.2875,3.7625,5.63248503
Richard,Hamilton,33,2011,2,10,5,7.776049767
Tim,Hardaway,27,2017,4,71,17.75,22.38335435
Joe,Harris,27,2018,2,16,8,9.7799511
Tobias,Harris,23,2015,4,64,16,21.53432032
Gordon,Hayward,27,2017,4,128,32,40.35308953
Gordon,Hayward,24,2014,4,62.96542,15.741355,21.92389276
Gerald,Henderson,27,2016,2,18,9,11.71875
Mario,Hezonja,23,2018,1,6.5,6.5,7.946210269
Grant,Hill,38,2011,1,6.5,6.5,10.1088647
Andre,Iguodala,33,2017,3,48,16,20.17654477
Andre,Iguodala,29,2013,4,48,12,17.31601732
Joe,Ingles,29,2017,4,52,13,16.39344262
Joe,Ingles,27,2015,2,4.3,2.15,2.893674293
John,Jenkins,24,2015,3,3.211301,1.070434,1.44069179
Joe,Johnson,33,2016,2,21.5,10.75,13.99739583
Tyler,Johnson,28,2016,4,20,12.5,16.27604167
Wesley,Johnson,28,2015,2,2.327888,1.163944,1.566546433
James,Jones,30,2011,3,4.5,1.5,2.33281493
Brandon,Knight,23,2015,5,70,14,18.84253028
Kyle,Korver,34,2017,3,22,7.333333333,9.247583018
Kyle,Korver,30,2013,4,24,6,8.658008658
Zach,Lavine,23,2018,4,78,19.5,23.83863081
Courtney,Lee,30,2016,4,48,12,15.625
Courtney,Lee,26,2012,4,21.35,5.3375,7.990269461
Kevin,Martin,30,2013,4,27.805,6.95125,10.03066378
