First Name,Last Name,Age,FA Year,eFG%,TRB,AST,PTS,PER,TOV%,USG%,BPM,VORP,ORtg
Arron,Afflalo,30,2016,0.5,3.7,2,12.8,10.9,8.7,17.9,-2.4,-0.2,105
Arron,Afflalo,29,2015,0.491,3.2,1.7,13.3,10.7,10.7,19,-1.8,0.1,103
Arron,Afflalo,25,2011,0.581,3.6,2.4,12.6,13.6,9.2,14.8,2.1,2.4,123
Ray,Allen,37,2012,0.566,3.1,2.4,14.2,14.8,11.2,18.6,2.6,1.8,111
Tony,Allen,31,2013,0.447,4.6,1.2,8.9,13.2,11.5,17.8,1.3,1.8,102
Trevor,Ariza,29,2014,0.562,6.2,2.5,14.4,15.8,12.3,17.8,3.4,3.6,113
Luke,Babbitt,26,2015,0.633,1.8,0.4,4.1,11.1,11.5,12.4,-1.4,0.1,117
Leandro,Barbosa,32,2015,0.53,1.4,1.5,7.1,15.3,9.5,20.5,-0.8,0.3,111
Harrison,Barnes,30,2016,0.531,4.9,1.8,11.7,12.3,7.6,15.9,-0.2,0.9,114
Matt,Barnes,36,2016,0.467,5.5,2.1,10,11.7,13.8,17.9,0.4,1.3,99
Matt,Barnes,33,2013,0.544,4.6,1.5,10.3,15.5,11,18.1,3.4,2.8,113
Will,Barton,27,2018,0.528,5,4.1,15.7,16.2,11.7,20.7,1,2,113
Will,Barton,24,2015,0.458,2.8,1.4,6.8,13.6,13.4,20.2,-0.6,0.3,99
Shane,Battier,33,2011,0.55,4.5,2.3,7.6,12.3,12.6,11.7,2.5,2.7,115
Nicolas,Batum,26,2016,0.506,6.1,5.8,14.9,15.6,17.6,21.4,2,2.5,104
Nicolas,Batum,23,2012,0.534,4.6,1.4,13.9,17.3,11.2,20.5,2.3,1.9,112
Kent,Bazemore,27,2016,0.517,5.1,2.3,11.6,13.4,14.8,20,0.3,1.2,99
Kent,Bazemore,25,2014,0.491,1.7,1.4,6,11.2,16.8,22.6,-2.5,-0.1,93
Bradley,Beal,23,2016,0.515,3.4,2.9,17.4,15.5,11.3,25.3,-0.6,0.6,103
Marco,Belinelli,32,2018,0.539,1.9,1.9,12.1,14.1,10.1,20.7,-1.3,0.3,111
Marco,Belinelli,29,2015,0.515,2.5,1.5,9.2,12.4,10.6,18.8,-0.5,0.5,107
Patrick,Beverley,27,2015,0.492,4.2,3.4,10.1,11.3,12.9,16.1,0.8,1.2,107
