First Name,Last Name,Age,FA Year,eFG%,TRB,AST,PTS,PER,TOV%,USG%,BPM,VORP,ORtg
Garrett,Temple,30,2016,0.535,2.8,1.7,12.4,12.4,6.3,18,1.3,2,110
Garrett,Temple,28,2014,0.383,0.9,1,1.8,7.8,20.8,14.3,-3.7,-0.3,89
Jason,Terry,35,2012,0.513,2.4,3.6,15.1,15.7,12.6,23.3,0.9,1.5,103
Marcus,Thornton,24,2011,0.488,3.5,1.8,12.8,16.5,9.5,24.9,0,0.9,106
PJ,Tucker,32,2017,0.485,5.8,1.2,6.7,10.5,11.2,11.2,0.9,1.6,109
Evan,Turner,27,2016,0.469,4.9,4.4,10.5,13.6,16.9,18.8,-0.7,0.8,102
Evan,Turner,25,2014,0.45,5,3.2,14,12.4,14.3,23.2,-3.7,-1,97
Dwyane,Wade,34,2016,0.459,4.1,4.6,19,20.3,13,31.6,0.8,1.6,103
Dion,Waiters,25,2017,0.488,3.3,4.3,15.8,14.5,12.5,26.3,-0.9,0.4,101
Dion,Waiters,24,2016,0.46,2.6,2,9.8,9.4,13.4,17.7,-2.1,-0.1,99
Gerald,Wallace,30,2012,0.491,6.7,2.8,13.8,15.9,13.2,18.6,1.9,2.1,109
Louis,Williams,28,2015,0.486,1.9,2.1,15.5,19.9,8.4,27,0.9,1.5,114
Louis,Williams,25,2012,0.46,2.4,3.5,14.9,20.2,7.2,27.4,1.9,1.7,110
Nick,Young,29,2014,0.511,2.6,1.5,17.9,16,8.6,26.8,-1.9,0,107
Nick,Young,28,2013,0.482,2.2,1.4,10.6,13.3,7.7,21.2,-2.5,-0.2,105
